ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
32,002,0000,320020000531,1,32-002-0000-03,00066,1,01,32002000053101,01,1,1,24,02,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000556,1,32-002-0000-03,00068,1,01,32002000055601,01,1,3,64,05,2015,0301,032,221,1,,,,,,1
32,002,0000,320020000561,1,32-002-0000-03,00068,1,01,32002000056101,01,1,1,33,01,2018,0101,032,221,3,04,2019,0801,1,03,1
32,002,0000,320020000562,1,32-002-0000-03,00069,1,01,32002000056201,01,1,1,24,09,2016,0101,032,221,1,,,,,,1
32,002,0000,320020000569,1,32-002-0000-03,00069,1,01,32002000056901,01,1,1,24,08,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000576,1,32-002-0000-03,00069,1,01,32002000057601,01,1,1,23,11,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000596,1,32-002-0000-03,00069,1,01,32002000059601,01,1,3,18,05,2015,0401,032,221,1,,,,,,1
32,002,0000,320020000597,1,32-002-0000-03,00069,1,01,32002000059701,01,1,1,21,11,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000615,1,32-002-0000-03,00069,1,01,32002000061501,01,1,1,27,09,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000628,1,32-002-0000-03,00070,1,01,32002000062801,01,1,3,16,12,2019,0501,032,221,1,,,,,,1
32,002,0000,320020000646,1,32-002-0000-03,00070,1,01,32002000064601,01,1,1,26,08,2016,0102,032,221,1,,,,,,1
32,002,0000,320020000658,1,32-002-0000-03,00070,1,01,32002000065801,01,1,1,27,10,2015,0301,032,221,1,,,,,,1
32,002,0000,320020000658,1,32-002-0000-03,00070,1,01,32002000065802,02,1,3,40,10,2015,0301,032,221,1,,,,,,1
32,002,0000,320020000658,1,32-002-0000-03,00070,1,01,32002000065803,03,1,1,43,10,2015,0301,032,221,1,,,,,,1
32,002,0000,320020000658,1,32-002-0000-03,00070,1,01,32002000065804,04,1,1,22,10,2015,0301,032,221,1,,,,,,1
32,002,0000,320020000681,1,32-002-0000-03,00073,1,01,32002000068101,01,1,1,26,01,2018,0101,032,221,3,08,2019,0301,1,01,1
32,002,0000,320020000684,1,32-002-0000-03,00073,1,01,32002000068401,01,1,1,28,10,2016,0102,032,221,1,,,,,,1
32,002,0000,320020000690,1,32-002-0000-03,00074,1,01,32002000069001,01,1,1,61,10,2016,0301,032,221,3,12,2019,0109,1,01,1
32,002,0000,320020000701,1,32-002-0000-03,00074,1,02,32002000070101,01,1,1,28,07,2015,0101,032,221,3,12,2018,0301,1,02,1
32,002,0000,320020000704,1,32-002-0000-03,00074,1,01,32002000070401,02,1,3,20,01,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000704,1,32-002-0000-03,00074,1,01,32002000070402,04,1,1,11,01,2020,0301,032,221,1,,,,,,1
32,002,0000,320020000704,1,32-002-0000-03,00074,1,01,32002000070403,01,1,3,44,01,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000704,1,32-002-0000-03,00074,1,01,32002000070404,03,1,1,18,01,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000719,1,32-002-0000-03,00074,1,01,32002000071901,02,1,3,17,03,2017,0101,032,221,3,12,2019,0301,1,03,1
32,002,0000,320020000722,1,32-002-0000-03,00075,1,01,32002000072201,01,1,1,70,12,2019,0301,032,221,1,,,,,,1
32,002,0000,320020000722,1,32-002-0000-03,00075,1,01,32002000072202,02,1,3,70,12,2019,0301,032,221,1,,,,,,1
32,002,0000,320020000725,1,32-002-0000-03,00075,1,01,32002000072501,01,1,1,26,07,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000728,1,32-002-0000-03,00075,1,01,32002000072801,01,1,1,29,02,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000735,1,32-002-0000-03,00079,1,01,32002000073501,01,1,1,29,03,2020,0102,032,213,2,,,,,,1
32,002,0000,320020000743,1,32-002-0000-03,00079,1,01,32002000074301,01,1,1,36,04,2017,0101,032,221,3,06,2018,0301,1,01,1
32,002,0000,320020000775,1,32-002-0000-03,00084,1,01,32002000077501,01,1,1,42,07,2018,0101,032,221,1,,,,,,1
32,002,0000,320020000775,1,32-002-0000-03,00084,1,01,32002000077502,02,1,3,49,01,2019,0301,032,221,3,10,2019,0301,1,01,1
32,002,0000,320020000775,1,32-002-0000-03,00084,1,01,32002000077503,03,1,1,20,04,2019,0101,032,221,3,07,2019,0301,1,02,1
32,002,0000,320020000782,1,32-002-0000-03,00085,1,01,32002000078201,01,1,1,62,11,2019,0301,032,221,3,11,2019,0301,1,01,1
32,002,0000,320020000782,1,32-002-0000-03,00085,1,01,32002000078202,02,1,3,62,99,9999,9999,999,999,3,99,9999,9999,1,02,1
32,002,0000,320020000789,1,32-002-0000-03,00085,1,02,32002000078901,01,1,1,31,06,2018,0101,032,221,1,,,,,,1
32,002,0000,320020000791,1,32-002-0000-03,00085,1,01,32002000079101,01,1,1,22,99,9999,9999,999,999,9,,,,,,1
32,002,0000,320020000798,1,32-002-0000-03,00086,1,01,32002000079801,01,1,3,999,99,9999,9999,999,999,9,,,,,,1
32,002,0000,320020000803,1,32-002-0000-03,00087,1,01,32002000080301,01,1,1,32,04,2019,0102,032,221,1,,,,,,1
32,002,0000,320020000808,1,32-002-0000-03,00087,1,01,32002000080801,01,1,1,32,05,2017,0102,032,221,3,01,2018,0301,1,05,1
32,002,0000,320020000814,1,32-002-0000-03,00088,1,01,32002000081401,01,1,1,50,01,2018,0101,032,221,1,,,,,,1
